"","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"310",0.455,0.548,1,1,1,1,1,1,1,1
"311",0.5,0,0.05,0.4,1,1,1,1,1,1
"312",0.5,0.05,0.1,0.6,1,1,1,1,1,0
"313",0.5,0.5,0.4,0.8,1,1,1,0.8,0.8,0.8
"314",0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5
"315",0.5,1,0.3,0.3,1,1,0,1,1,0
"316",0.6,0.05,0.1,0.4,0.5,1,1,1,1,1
"317",0.6,0.05,0.4,0.55,0.8,1,1,1,1,1
"318",0.6,0.1,0.2,0.3,0.4,0.5,1,1,1,1
"319",0.6,0.2,0.2,0.5,1,1,1,1,1,1
"320",0.601,0.558,1,1,1,1,1,1,1,1
"321",0.7,0.05,0.1,0.7,1,1,1,1,1,1
"322",0.7,0.4,1,1,1,1,1,1,1,1
"323",0.8,0,0,0,0.3,0.5,0.6,1,0.8,0.8
"324",0.8,0.05,0.5,0.5,1,1,1,1,0,0
"325",0.8,0.1,0.2,0.6,0.5,0.4,1,1,1,0.5
"326",0.9,0.1,0.1,0.1,0.5,0.7,0.8,1,0.9,0.9
"327",0.9,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.9,0.1
"328",1,0.05,0.05,0.05,0.5,0.5,1,1,1,1
"329",1,0.05,0.1,0.2,0.3,0.4,1,1,1,1
"330",1,0.05,0.1,0.4,0.5,1,1,1,1,1
"331",1,0.05,0.5,0.5,0.5,0.7,1,1,1,1
"332",1,0.1,0.2,0.3,0.4,0.5,1,1,1,1
"333",1,0.5,0.5,0.05,0.5,0.6,1,1,1,1
"334",1,0.6,0.3,0,0.3,0.6,0.9,1,1,1
"335",1,0.7,0.5,0.3,0,0.3,0.5,0.7,1,1
"336",1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1
"337",1,1,0.2,0.2,0.4,0.4,0.6,0.6,0.8,0.8
"338",1,1,0.2,0.2,0.4,0.4,0.6,0.6,1,1
"339",1,1,0.8,0.8,0.6,0.6,0.4,0.4,0.2,0.2
"340",1,1,1,0.5,0.4,0.2,0.7,0.5,0.5,0.5
"341",1,1,1,0.5,0.4,0.2,0.7,0.5,0.5,0.5
"342",1,1,1,0.5,0.5,0.5,0.2,0.2,0.2,0.2
"343",1,1,1,0.5,0.5,0.5,0.5,1,1,1
"344",1,1,1,0.7,0.8,0.2,0.7,0.5,0.9,0.5
"345",1,1,1,0.9,0.4,0.2,0.7,0.5,0.5,0.5
"346",1,1,1,1,0.4,0.2,0.7,0.5,0.5,0.5
"347",1,1,1,1,0.5,0.5,0.8,0.8,0.9,0.9
"348",1,1,1,1,0.9,0.9,0.9,0.9,0.6,0.6
"349",1,1,1,1,1,0.3,0.3,0.3,0.3,0.3
"350",1,1,1,1,1,0.6,0.6,0.6,0.6,0.6
"351",0,0,0.1,0.3,0.4,1,1,1,1,1
"352",0,0,0.1,0.3,0.5,1,1,1,1,1
"353",0,0,0.1,0.3,0.6,1,1,1,1,1
"354",0,0,0.1,0.6,0.7,1,1,1,1,1
"355",0,0,0.1,0.6,0.8,1,1,1,1,1
"356",0,0,0.1,0.7,0.6,1,1,1,1,1
"357",0,0,0.1,0.7,0.7,1,1,1,1,1
"358",0,0,0.1,0.7,0.8,1,1,1,1,1
"359",0,0,0.1,0.8,0.6,1,1,1,1,1
"360",0,0,0.1,0.8,0.7,1,1,1,1,1
"361",0,0,0.1,0.8,0.8,1,1,1,1,1
"362",0,0.4,0.2,0.05,0.2,0.2,0.2,1,0.2,0
"363",0,0.4,0.2,0.05,0.2,0.2,1,0.2,0.2,0
"364",0,0.4,0.2,0.05,0.2,1,0.2,0.2,0.2,0
"365",0,0.4,0.3,0,0.3,0.3,0.3,0.3,1,0
"366",0,0.4,0.3,0.05,0.3,0.3,0.3,0.3,1,0.1
"367",0,0.4,0.3,0.1,0.3,0.3,0.3,0.3,1,0
"368",0,0.5,0.2,0.05,0.2,0.2,0.2,0.2,1,0
"369",0,0.5,0.2,0.05,0.2,0.2,0.2,1,0.2,0
"370",0,0.5,0.2,0.05,0.2,0.2,1,0.2,0.2,0
"371",0,0.5,0.2,0.05,0.2,1,0.2,0.2,0.2,0
"372",0,0.5,0.3,0,0.3,0.3,0.3,0.3,1,0
"373",0,0.5,0.3,0.05,0.3,0.3,0.3,0.3,1,0.05
"374",0,0.5,0.3,0.1,0.3,0.3,0.3,0.3,0.8,0
"375",0,0.5,0.3,0.1,0.3,0.3,0.3,0.3,1,0
"376",0.1,0.1,0.1,0.1,0.2,1,1,0.1,0,0.4
"377",0.1,0.1,0.1,0.1,0.2,1,1,0.1,0.5,0.5
"378",0.1,0.1,0.1,0.1,0.2,1,1,0.1,0.6,0.6
"379",0.1,0.1,0.1,0.1,0.2,1,1,0.1,0.8,0.8
"380",0.1,0.1,0.1,0.1,0.6,1,1,0,0,0.4
"381",0,0,0.1,0.9,0.9,1,1,1,1,1
"382",0,0,0.1,1,1,1,1,1,1,1
"383",0,0,0.15,0.7,0.7,1,1,1,1,1
"384",0,0,0.15,0.7,0.8,1,1,1,1,1
"385",0,0,0.15,0.8,0.8,1,1,1,1,1
"386",0,0,0.2,0.7,0.7,1,1,1,1,1
"387",0,0,0.2,0.7,0.8,1,1,1,1,1
"388",0,0,0.2,0.8,0.8,1,1,1,1,1
"389",0,0,0.2,0.9,0.9,1,1,1,1,1
"390",0,0.05,0.1,1,1,1,1,1,1,1
"391",0,0.5,0.2,0.05,0.2,0.2,0.2,0.2,1,0.1
"392",0,0.5,0.2,0.05,0.2,0.2,0.2,1,0.2,0.1
"393",0,0.5,0.2,0.05,0.2,0.2,1,0.2,0.2,0.1
"394",0,0.7,0.2,0.05,0.2,0.2,0.2,0.2,1,0
"395",0,0.7,0.2,0.05,0.2,0.2,0.2,1,0.2,0
"396",0,0.7,0.2,0.05,0.2,0.2,1,0.2,0.2,0
"397",0,0.7,0.2,0.1,0.2,0.2,1,0.2,0.2,0
"398",0.1,0.5,0.2,0.05,0.2,0.2,0.2,0.2,1,0
"399",0.1,0.5,0.2,0.05,0.2,0.2,0.2,1,0.2,0
"400",0.1,0.5,0.2,0.05,0.2,0.2,1,0.2,0.2,0
"401",0.05,0,0.1,0.4,0.5,1,1,1,1,1
"402",0.05,0,0.1,0.4,0.6,1,1,1,1,1
"403",0.05,0,0.1,0.4,0.7,1,1,1,1,1
"404",0.05,0,0.1,0.4,0.8,1,1,1,1,1
"405",0.05,0,0.1,0.4,0.9,1,1,1,1,1
"406",0.05,0,0.1,0.4,1,1,1,1,1,1
"407",0.05,0,0.1,0.5,0.5,1,1,1,1,1
"408",0.05,0,0.1,0.5,0.6,1,1,1,1,1
"409",0.05,0,0.1,0.5,0.7,1,1,1,1,1
"410",0.05,0,0.1,0.5,0.8,1,1,1,1,1
"411",0.05,0,0.1,0.5,0.9,1,1,1,1,1
"412",0.05,0,0.1,0.5,1,1,1,1,1,1
"413",0.05,0,0.1,0.6,0.5,1,1,1,1,1
"414",0.05,0,0.1,0.6,0.6,1,1,1,1,1
"415",0.05,0,0.1,0.6,0.7,1,1,1,1,1
"416",0.05,0,0.1,0.6,0.8,1,1,1,1,1
"417",0.05,0,0.1,0.6,0.9,1,1,1,1,1
"418",0.05,0,0.1,0.6,1,1,1,1,1,1
"419",0.05,0,0.1,0.7,0.5,1,1,1,1,1
"420",0.05,0,0.1,0.7,0.6,1,1,1,1,1
"421",0.05,0,0.1,0.7,0.7,1,1,1,1,1
